Year,Fold,MSE,R2,MAPE,Intercept,Coeff_birth_year,Coeff_gender,Coeff_INPBELI_PAST,Coeff_birth_municipality_encoded,Coeff_embeddings,dataset_size
2017,1,267623704.53732044,0.6807151880528518,0.3424805982335836,10.28602269106255,-0.04032850096011157,-0.007060739754702006,-0.03498808493362828,0.8663349780300124,0.0035043305689295076,
2017,2,320142059.2363211,0.6394155751520707,0.3984727253076341,10.3003185274504,-0.027564423685662264,0.009170629286190168,0.0016494477592664647,0.8322153188734929,0.0011667165183087496,
2017,3,290744415.73406285,0.6718423533094643,0.41625866262918765,10.286098683937912,-0.0604941230362695,-0.0014745758717630286,-0.005095085188847474,0.8756127638528817,0.04823151853102732,
2017,4,297015790.61216927,0.6788738266504062,0.3758769374656331,10.283840654454904,-0.06767150785947143,0.002247810597322264,0.0014578301766969327,0.9180380342574084,0.03651574717807296,
2017,5,350051862.74745727,0.5971111746160989,0.4477384921129555,10.283468160539543,-0.05460084303444404,-0.006347919709513428,-0.039119422898590196,0.8452473911123953,0.03591003332315783,
2017,mean,305115566.5734662,0.6535916235561784,0.3961654831497988,10.287949743489062,-0.050131879715191764,-0.000692959090493206,-0.01521906301702051,0.8674896972252382,0.025065669223899273,492.0
2018,1,295420938.3228453,0.6143270442534297,0.5182008649427977,10.219058407835558,0.009047677747339047,-0.013009076733175778,0.02533638388026292,0.8465904241175202,0.003870123657548823,
2018,2,248911685.48241025,0.6944800769380801,0.3888894451977817,10.294442819975133,0.03232258288460097,-0.028896769292016233,-0.02084912916241412,0.8651580189755324,0.0008017969991023055,
2018,3,299374057.7702025,0.6246696846079292,0.5191638315237568,10.297341679572922,-0.0012699001814912942,-0.018248556966021012,0.0011430499465341318,0.8065213066342404,0.011786478901758905,
2018,4,300455072.7527815,0.5955788692332573,0.460281894335645,10.232772262197798,0.01977604839037005,-0.03184551325729111,0.04092527023598942,0.8413108367697096,0.012962656479769342,
2018,5,302066176.5593349,0.6225436543340199,0.4723944905023594,10.30835837532157,0.01124500913097098,-0.05656076459043598,0.028390487016452057,0.7628565051960151,0.017275723556699978,
2018,mean,289245586.17751485,0.6303198658733432,0.47178610530046805,10.270394708980596,0.014224283594357953,-0.029712136167788023,0.01498921238336488,0.8244874183386035,0.00933935591897587,481.0
2019,1,262837515.02322748,0.6472725211738677,0.3443116688565464,10.348239605831207,-0.0013007337796208972,-0.01788714835839833,-0.005190847027990928,0.7589235604412861,0.00030868908189892597,
2019,2,227711939.10115793,0.6803089146750442,0.3334541813658082,10.333819696326753,-0.005400054133031844,-0.03420015368737289,0.0024042711918503814,0.8047540100768673,0.002432713534738502,
2019,3,250302226.7342844,0.6699950527445837,0.32328804789907006,10.341303945097444,0.0041361304345237234,-0.037814889557473474,0.027676086301227074,0.7975655422966129,0.019905409572245538,
2019,4,243517852.85071373,0.6891174402551101,0.310545121580178,10.306808845127367,-0.009966147098144593,0.027907456948871034,0.0064864508471952015,0.832049475609705,0.014570240606889684,
2019,5,231022549.62412578,0.6813581483958195,0.2984191350617558,10.354726826447353,0.038115089232117906,-0.010474103594024564,0.03055889991440439,0.7718530564569107,0.014747893696734753,
2019,mean,243078416.66670185,0.6736104154488851,0.32200363095267165,10.336979783766024,0.0051168569311688585,-0.014493767649679645,0.012386972245337224,0.7930291289762764,0.01039298929850148,487.0
2020,1,314386890.74706984,0.6112400659684245,0.986701270686602,10.231639352688992,0.0275399115320416,0.07777121497270068,-0.0035070718762673396,0.8200241458314427,0.0,
2020,2,270561520.9768689,0.6632837876624533,0.35630839786418333,10.276199526366177,0.005685270452262537,0.08331307647262909,0.0018042817191993709,0.8036078403602847,0.023181027639603016,
2020,3,311714138.8403306,0.6243984950527472,0.9390664775854465,10.307752780973885,0.01883168852783518,0.031092344681352135,-0.020411208189449644,0.7708243988769473,0.025153256211553864,
2020,4,319931742.575229,0.6051245663746694,0.9979059982362497,10.2847112820109,0.01744686682598665,0.03067108246053951,-0.01066803868654547,0.8059786306484522,0.02460454305465534,
2020,5,236742479.94510064,0.685009476014471,0.955675400295582,10.279851826500703,0.007174644943039827,0.04499546507400565,-0.0010962364760798576,0.8042404164192581,0.025697426359082624,
2020,mean,290667354.61691976,0.6378112782145531,0.8471315089336127,10.276030953708133,0.015335676456233158,0.05356863673224541,-0.006775654701828587,0.8009350864272771,0.019727250652978968,490.0
2021,1,270691132.2445567,0.685132203218811,0.3982222621328209,10.249467997211358,-0.01760168927987798,0.026791949378968227,-0.02220804929220582,0.8836996473522022,0.03100739149951054,
2021,2,265177502.07333517,0.6964348207278444,0.456719756114652,10.222240879379658,0.020094456025789808,-0.015462098388582812,0.012054057094212284,0.8965191408253321,0.027126385821260753,
2021,3,326633332.16746205,0.6256472338405501,0.5238045956793296,10.202373759673346,0.004273607408065214,-0.02296269304144591,0.014347124610364196,0.8883415327618964,0.03938180401520604,
2021,4,307035611.6361516,0.629819695706747,0.4209225272731734,10.194158976543868,0.014114596616118136,0.019964665216897437,0.017513859846541514,0.8642502484835967,0.027795957262017876,
2021,5,286820264.625198,0.6748048589848676,0.4617933450717077,10.188249141764826,-0.010904816303339762,-0.018288125853546666,0.0013617513983403167,0.9158061904835082,0.0007520955589200285,
2021,mean,291271568.5493407,0.6623677624957639,0.45229249725433673,10.211298150914612,0.001995230893351084,-0.0019912605375419445,0.004613748731450498,0.889723351981307,0.025212726831383047,466.0
2022,1,265345452.44221938,0.6894087918626899,0.5442694818105293,10.216423411472986,0.004725291480699843,-0.002315778569375204,-0.001331607388408489,0.9191752671691954,0.0004000026024706153,
2022,2,272420944.15939707,0.670758558628119,0.6931339955168503,10.246698255047948,-0.015686353225953784,-0.06651809584528162,0.015854673083637572,0.9269642463878849,0.003624972177212309,
2022,3,255251802.52901202,0.7002246906979206,0.6321766761102382,10.3203643518244,-0.004013659952378523,-0.0700615627934783,0.009417403743506926,0.8565010605497554,0.004499239090102573,
2022,4,286820052.8485974,0.6723356366466353,0.7444498981454032,10.246043080998252,-0.05489152254544623,-0.06121097006885022,0.00666317301042031,0.9494377964462285,0.007296762495133943,
2022,5,291505139.26081455,0.6781813125898984,0.6310633288010539,10.269037856558109,-0.04569829284153357,-0.033794509741473966,-0.032891561862645885,0.9512301118355346,0.0011840516628347816,
2022,mean,274268678.2480081,0.6821817980850526,0.6490186760768151,10.25971339118034,-0.02311290741692245,-0.04678018340369187,-0.0004575838826979137,0.9206616964777197,0.003401005605550844,482.0
